model,eif2s1_thr,pelo_thr,shared,jaccard,rho_ep,preserve_rho,n_valid,eif_top1,pelo_top1
Raw,0.9196049571037292,0.8987963199615479,559,0.5248826291079812,0.987294591991915,1.0,209,YME1L1,ARCN1
Hardy,0.9208735996311034,0.9001413711935693,542,0.5009242144177449,0.9867384422407591,0.9995765501878388,209,YME1L1,ARCN1
Ischemic,0.9199547506094755,0.8992174123827746,563,0.530631479736098,0.9872937440786363,0.9999908641930632,209,YME1L1,ARCN1
Hardy+Ischemic,0.9211165959011228,0.9005510785375508,550,0.5121042830540037,0.9867925465104799,0.9995433246400689,209,YME1L1,ARCN1
Full,0.918143660430924,0.8979701434671223,550,0.5121042830540037,0.9870095451295323,0.9981061337805083,209,YME1L1,ARCN1
