gene,mean_rho,std_rho,min_rho,max_rho,n_region_pairs,mw_p_eif2s1_vs_pelo
EIF2S1,0.898923491417054,0.04140441902097842,0.8372453149127803,0.9742860743922734,10,0.47267559351158717
PELO,0.8935706053543843,0.03671766696849689,0.8427886994925722,0.967464169182604,10,0.47267559351158717
